month,intercept,slope,R2,N,BM_p01,BM_p99,BM_CZ_p01,BM_CZ_p99,date
1995-01,0.025532420376115028,0.9876643831697398,0.9541090852636829,3253.0,0.03764296868055655,2.84293540472794,0.03741662652134343,2.8533465953090915,1995-01-31
1995-02,0.025651267878316397,0.989872555239754,0.9528344231829746,3253.0,0.03764296868055655,2.799104812083434,0.03698689594366454,2.8485259652280637,1995-02-28
1995-03,0.032121553961789506,0.9831656630114115,0.9426492811731001,3238.0,0.03738880400109812,2.810659949225881,0.03696448876683296,2.844114399691706,1995-03-31
1995-04,0.0362530683441733,0.9810219914594718,0.9368203943229652,3206.0,0.03845712567275726,2.7608082310175637,0.03691668678959226,2.7931793364266526,1995-04-30
1995-05,0.038618285032443134,0.9763244459951921,0.9327813858825391,3200.0,0.038439351342859585,2.752891863036679,0.03579561188356734,2.753232611514662,1995-05-31
1995-06,0.00203844553375232,1.0171647194797317,0.9266861474712534,3563.0,0.04375722358280281,2.9658187083504757,0.04916544264204893,3.176167606965324,1995-06-30
1995-07,0.006084248559585337,1.0075770043464378,0.9563394246313759,3557.0,0.04374244481923428,2.9673453887289196,0.050638447370406334,3.064934968815706,1995-07-31
1995-08,0.004819132990364405,1.0103324245302516,0.959722966273405,3534.0,0.043685792892221596,2.9731976635129596,0.05338604498616204,3.1292554224443947,1995-08-31
1995-09,0.004732120448316723,1.0095159763869257,0.9729932322478883,3530.0,0.04367594038317591,3.011692790930134,0.053357614148500994,3.1415345580928973,1995-09-30
1995-10,0.006811050896598392,1.0065082378935577,0.9760184063108261,3508.0,0.043873058614364184,3.0210190511749984,0.054018585303259724,3.1299806595345,1995-10-31
1995-11,0.007031152060887225,1.0081590548841788,0.9787202187231789,3493.0,0.044143069561267984,3.0248195001058953,0.05380539984166251,3.1457309971476426,1995-11-30
1995-12,0.022716104818477745,0.9885200422680406,0.9642128788911535,3471.0,0.04377692860089418,2.9637831345125507,0.05316868756905524,2.995725339707423,1995-12-31
1996-01,0.02859396454795826,0.9804292403791917,0.9586319958708791,3422.0,0.04391753100561893,2.9762510242698466,0.05358283712663468,2.983189422937303,1996-01-31
1996-02,0.03591115298824232,0.9721145621701107,0.9490589225721643,3411.0,0.0438825884124902,2.9790499382969995,0.05354392993304166,2.9790499382969995,1996-02-29
1996-03,0.04444908268036385,0.968542493677917,0.9330798977078365,3387.0,0.044124009965015955,2.9875292984775013,0.052293780073063734,2.9892656464710354,1996-03-31
1996-04,0.04198430582475543,0.9762360284467887,0.927675266657412,3371.0,0.04407318437501053,2.994312033201058,0.050835963898018886,3.103832866945056,1996-04-30
1996-05,0.049194472544197176,0.9650842760712492,0.9225985007976538,3365.0,0.044054124778758495,2.9653098148909947,0.04997725859549833,2.998147724671061,1996-05-31
1996-06,-0.004584619264649148,1.026543269171009,0.9390784264970954,3786.0,0.030059628870537036,2.9965926937108276,0.031079922472643098,3.262666571221345,1996-06-30
1996-07,0.0031020758670928794,1.0078837495329778,0.964207498170274,3795.0,0.030065328437920716,2.9951639955423484,0.03292261952717055,3.065638536077188,1996-07-31
1996-08,0.005548258121730099,1.003390942078937,0.9685080702341339,3774.0,0.030115636941565306,2.9984976246021287,0.03360195901936968,3.0249367110563887,1996-08-31
1996-09,0.008488930154836538,0.9990691316424917,0.9799978525419827,3773.0,0.030051396162093943,2.952773728636358,0.03442055263842025,2.952773728636358,1996-09-30
1996-10,0.006084632267620793,1.0026262631634242,0.9861718654167695,3753.0,0.030102257700015102,2.9220577735841244,0.0349155108217975,2.954136387639558,1996-10-31
1996-11,0.006658154124692173,1.0027338598003017,0.9907247233724232,3742.0,0.03009524952586976,2.8915909633449126,0.03546253140983769,2.9324991450958278,1996-11-30
1996-12,0.021486002966855655,0.9839745477156353,0.9704907367038942,3722.0,0.03022075375446476,2.893481010014203,0.0351704152039709,2.902300574764711,1996-12-31
1997-01,0.025253016113204296,0.9780407299457049,0.9633661741690549,3637.0,0.030801887822347513,2.886804976141083,0.036298857357072625,2.9010027869645043,1997-01-31
1997-02,0.02910590616589248,0.974659894189921,0.958935883604622,3641.0,0.030300295834808585,2.8561436460334564,0.03546247495353248,2.870577950826579,1997-02-28
1997-03,0.04636743511728314,0.9510705783700392,0.9278924661366025,3617.0,0.030662773116423247,2.865302489030441,0.03262803001082783,2.8293074510098886,1997-03-31
1997-04,0.05014800535286468,0.948990576241941,0.9215765513564564,3604.0,0.03057234855757247,2.8311562193078528,0.032470905828224594,2.8071442130317665,1997-04-30
1997-05,0.04990235891501105,0.9529801737876732,0.917986784931522,3584.0,0.03048031212190251,2.839734052330548,0.03238590605276978,2.848791525420302,1997-05-31
1997-06,0.0028497503090668674,1.0036123630251608,0.94741438936976,3960.0,0.04384803443733158,2.751206038107017,0.04104075798941809,2.868866170323471,1997-06-30
1997-07,0.004734124054810662,1.002798102113549,0.9599917001837733,3957.0,0.04605284469506867,2.7525901968554964,0.04193790749235942,2.849984079665509,1997-07-31
1997-08,0.008068064792137952,0.9952070008096658,0.9673720048490578,3931.0,0.04583774844209661,2.764586239342225,0.04192585146103432,2.7994123504994963,1997-08-31
1997-09,0.006746753895843893,0.9995389639146708,0.9821907597164168,3908.0,0.045647470987544396,2.731179373995882,0.04908412436701082,2.7751981230804956,1997-09-30
1997-10,0.006113088720102633,1.002188096744074,0.983512385088106,3888.0,0.04320563749702269,2.718495626772462,0.0491358649730213,2.779186889052503,1997-10-31
1997-11,0.008538431490855203,0.9997304138314638,0.9869206210269142,3860.0,0.04298655502003384,2.712178354256089,0.048549926482882144,2.7229349383006562,1997-11-30
1997-12,0.016352146314525196,0.991119066273459,0.9754439196216195,3830.0,0.04275182379468862,2.71434250523536,0.0491157521782385,2.727691343509443,1997-12-31
